          table_name           |                         constraint_name                         | constraint_type |       column_name       |      foreign_table_name       | foreign_column_name 
-------------------------------+-----------------------------------------------------------------+-----------------+-------------------------+-------------------------------+---------------------
 alert_events                  | alert_events_pkey                                               | PRIMARY KEY     | id                      | alert_events                  | id
 alert_rules                   | alert_rules_pkey                                                | PRIMARY KEY     | id                      | alert_rules                   | id
 almacen                       | almacen_sucursal_id_fkey                                        | FOREIGN KEY     | sucursal_id             | sucursal                      | id
 almacen                       | almacen_pkey                                                    | PRIMARY KEY     | id                      | almacen                       | id
 audit_log                     | selemti_audit_log_user_id_foreign                               | FOREIGN KEY     | user_id                 | users                         | id
 audit_log                     | audit_log_pkey                                                  | PRIMARY KEY     | id                      | audit_log                     | id
 auditoria                     | auditoria_pkey                                                  | PRIMARY KEY     | id                      | auditoria                     | id
 bodega                        | bodega_sucursal_id_fkey                                         | FOREIGN KEY     | sucursal_id             | sucursal                      | id
 bodega                        | bodega_pkey                                                     | PRIMARY KEY     | id                      | bodega                        | id
 bodega                        | bodega_sucursal_id_codigo_key                                   | UNIQUE          | codigo                  | bodega                        | sucursal_id
 bodega                        | bodega_sucursal_id_codigo_key                                   | UNIQUE          | sucursal_id             | bodega                        | sucursal_id
 bodega                        | bodega_sucursal_id_codigo_key                                   | UNIQUE          | codigo                  | bodega                        | codigo
 bodega                        | bodega_sucursal_id_codigo_key                                   | UNIQUE          | sucursal_id             | bodega                        | codigo
 cache                         | cache_pkey                                                      | PRIMARY KEY     | key                     | cache                         | key
 cache_locks                   | cache_locks_pkey                                                | PRIMARY KEY     | key                     | cache_locks                   | key
 caja_fondo                    | caja_fondo_pkey                                                 | PRIMARY KEY     | id                      | caja_fondo                    | id
 caja_fondo_adj                | caja_fondo_adj_mov_id_fkey                                      | FOREIGN KEY     | mov_id                  | caja_fondo_mov                | id
 caja_fondo_adj                | caja_fondo_adj_pkey                                             | PRIMARY KEY     | id                      | caja_fondo_adj                | id
 caja_fondo_arqueo             | caja_fondo_arqueo_fondo_id_fkey                                 | FOREIGN KEY     | fondo_id                | caja_fondo                    | id
 caja_fondo_arqueo             | caja_fondo_arqueo_pkey                                          | PRIMARY KEY     | id                      | caja_fondo_arqueo             | id
 caja_fondo_mov                | caja_fondo_mov_fondo_id_fkey                                    | FOREIGN KEY     | fondo_id                | caja_fondo                    | id
 caja_fondo_mov                | caja_fondo_mov_pkey                                             | PRIMARY KEY     | id                      | caja_fondo_mov                | id
 caja_fondo_usuario            | caja_fondo_usuario_fondo_id_fkey                                | FOREIGN KEY     | fondo_id                | caja_fondo                    | id
 caja_fondo_usuario            | caja_fondo_usuario_pkey                                         | PRIMARY KEY     | fondo_id                | caja_fondo_usuario            | user_id
 caja_fondo_usuario            | caja_fondo_usuario_pkey                                         | PRIMARY KEY     | user_id                 | caja_fondo_usuario            | user_id
 caja_fondo_usuario            | caja_fondo_usuario_pkey                                         | PRIMARY KEY     | fondo_id                | caja_fondo_usuario            | fondo_id
 caja_fondo_usuario            | caja_fondo_usuario_pkey                                         | PRIMARY KEY     | user_id                 | caja_fondo_usuario            | fondo_id
 cash_fund_arqueos             | cash_fund_arqueos_cash_fund_id_foreign                          | FOREIGN KEY     | cash_fund_id            | cash_funds                    | id
 cash_fund_arqueos             | cash_fund_arqueos_created_by_user_id_foreign                    | FOREIGN KEY     | created_by_user_id      | users                         | id
 cash_fund_arqueos             | cash_fund_arqueos_pkey                                          | PRIMARY KEY     | id                      | cash_fund_arqueos             | id
 cash_fund_arqueos             | cash_fund_arqueos_cash_fund_id_unique                           | UNIQUE          | cash_fund_id            | cash_fund_arqueos             | cash_fund_id
 cash_fund_movement_audit_log  | selemti_cash_fund_movement_audit_log_changed_by_user_id_foreign | FOREIGN KEY     | changed_by_user_id      | users                         | id
 cash_fund_movement_audit_log  | selemti_cash_fund_movement_audit_log_movement_id_foreign        | FOREIGN KEY     | movement_id             | cash_fund_movements           | id
